dataset,group,method,replicates,source,f1_mean,f1_std,precision_mean,precision_std,recall_mean,recall_std,auprc_mean,auprc_std,roc_auc_mean,roc_auc_std
noisy_dropout_2026,simulated,FiRE,1,R baseline on count-compatible input,0.058252427184466,0.0,0.03,0.0,1.0,0.0,0.0266173668714349,0.0,0.457999236349752,0.0
noisy_dropout_2026,simulated,GapClust,1,R baseline on count-compatible input,0.072234762979684,0.0,0.0376470588235294,0.0,0.888888888888889,0.0,0.0748022551101535,0.0,0.67967258495609,0.0
noisy_dropout_2026,simulated,RaceID,1,R baseline on count-compatible input,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.5,0.0
noisy_dropout_2027,simulated,FiRE,1,R baseline on count-compatible input,0.058252427184466,0.0,0.03,0.0,1.0,0.0,0.0228918066774322,0.0,0.378603474608629,0.0
noisy_dropout_2027,simulated,GapClust,1,R baseline on count-compatible input,0.0759803921568627,0.0,0.0397435897435897,0.0,0.861111111111111,0.0,0.136526352711336,0.0,0.683252195494464,0.0
noisy_dropout_2027,simulated,RaceID,1,R baseline on count-compatible input,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.5,0.0
noisy_dropout_2028,simulated,FiRE,1,R baseline on count-compatible input,0.058252427184466,0.0,0.03,0.0,1.0,0.0,0.0391773826987706,0.0,0.513817296678121,0.0
noisy_dropout_2028,simulated,GapClust,1,R baseline on count-compatible input,0.0713407134071341,0.0,0.0373230373230373,0.0,0.805555555555556,0.0,0.0770430518153681,0.0,0.672668480336006,0.0
noisy_dropout_2028,simulated,RaceID,1,R baseline on count-compatible input,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.5,0.0
noisy_dropout_2029,simulated,FiRE,1,R baseline on count-compatible input,0.058252427184466,0.0,0.03,0.0,1.0,0.0,0.045275804194723,0.0,0.580875334096984,0.0
noisy_dropout_2029,simulated,GapClust,1,R baseline on count-compatible input,0.0733549083063646,0.0,0.0381593714927048,0.0,0.944444444444444,0.0,0.182852887129753,0.0,0.781631825124093,0.0
noisy_dropout_2029,simulated,RaceID,1,R baseline on count-compatible input,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.5,0.0
